Type,Average F0.5 Score,Number of Samples
IfcBeam,0.9616454399063095,11
IfcBuildingElementProxy,0.6895959337819804,13
IfcColumn,1.0,6
IfcCovering,0.3793103448275862,8
IfcDoor,0.6800065876152832,8
IfcFooting,0.14705882352941174,2
IfcMember,0.7342342342342342,6
IfcPlate,0.77383759280311,7
IfcRailing,0.5708812260536399,4
IfcReinforcingBar,1.0,1
IfcSlab,0.7440439336474575,55
IfcStair,1.0,1
IfcStairFlight,0.7638888888888888,4
IfcWall,0.8670102944559467,20
IfcWallStandardCase,0.8157531612167317,45
IfcWindow,0.8112903225806452,5
